player_name,prop_type,line_value,suggestion,win_rate_3,ev_3,proj_3,win_rate_5,ev_5,proj_5,win_rate_10,ev_10,proj_10,win_rate_14,ev_14,proj_14,win_rate_28,ev_28,proj_28
Jalen Johnson,REB,11.5,OVER,57.0,5.7,12.63,51.4,0.1,10.24,44.2,-7.0,9.88,53.4,2.1,10.95,37.0,-14.2,9.9
Onyeka Okongwu,REB,7.5,OVER,66.1,17.8,7.99,40.1,-8.2,6.4,20.9,-27.4,3.86,28.3,-20.0,4.85,47.4,-0.9,6.73
Dyson Daniels,REB,6.5,OVER,81.5,26.6,8.04,47.9,-7.0,5.35,38.2,-16.8,5.3,40.5,-14.4,5.63,47.7,-7.2,6.17
Jock Landale,REB,5.5,OVER,82.8,32.8,6.34,63.7,13.7,5.57,68.9,18.9,6.09,64.3,14.3,6.17,66.2,16.2,6.47
Will Riley,REB,3.5,OVER,33.0,-24.8,2.32,36.7,-21.1,2.38,50.2,-7.6,3.54,41.9,-15.9,2.96,31.0,-26.8,2.61
C.J. McCollum,REB,3.5,OVER,33.8,-12.3,3.7,40.4,-5.6,3.63,46.4,0.3,3.15,47.4,1.3,3.37,42.0,-4.1,3.19
Dyson Daniels,RA,11.5,OVER,37.9,-19.9,12.37,22.1,-35.7,8.78,34.9,-22.9,9.75,51.3,-6.5,11.09,59.5,1.7,12.17
Onyeka Okongwu,RA,10.5,OVER,56.9,7.4,10.0,33.7,-15.8,8.17,17.5,-32.0,4.9,23.4,-26.1,6.41,46.9,-2.6,9.35
Nickeil Alexander-Walker,RA,7.5,OVER,39.8,-15.1,7.31,49.1,-5.8,9.17,55.2,0.3,9.15,39.7,-15.2,7.87,47.7,-7.3,7.91
C.J. McCollum,RA,6.5,OVER,41.4,-14.5,7.02,44.7,-11.2,7.63,34.5,-21.4,6.43,34.7,-21.2,6.72,43.9,-11.9,6.55
Will Riley,RA,6.5,OVER,34.1,-15.2,4.4,25.1,-24.2,4.03,46.2,-3.1,6.19,33.5,-15.8,5.17,23.8,-25.5,4.3
C.J. McCollum,FG3M,2.5,OVER,95.1,38.3,3.34,77.1,20.3,3.18,59.0,2.2,3.0,56.3,-0.5,2.93,45.0,-11.9,2.23
Kyshawn George,FG3M,1.5,OVER,33.4,-12.3,0.67,40.2,-5.5,1.2,29.8,-15.9,0.9,49.8,4.2,1.35,43.6,-2.1,1.28
Jock Landale,FG3M,0.5,OVER,66.9,2.0,1.67,80.2,15.3,1.42,69.8,4.8,1.42,71.6,6.7,1.3,68.6,3.6,1.11
Nicolas Claxton,AST,3.5,OVER,33.7,-21.0,1.69,36.8,-17.8,1.79,28.7,-25.9,2.2,41.4,-13.3,3.02,44.0,-10.6,2.87
Michael Porter Jr,AST,3.5,OVER,66.7,25.4,4.34,40.1,-1.2,2.62,21.4,-19.9,2.11,29.2,-12.1,2.52,32.1,-9.2,2.37
Khris Middleton,AST,3.5,OVER,34.4,-25.9,3.38,20.4,-39.9,2.43,20.0,-40.3,2.14,28.6,-31.6,2.22,28.6,-31.6,2.26
Egor Demin,AST,3.5,OVER,32.5,-12.5,2.68,39.3,-5.8,2.61,28.2,-16.9,2.41,28.0,-17.0,2.45,29.1,-15.9,2.51
Danny Wolf,AST,2.5,OVER,67.2,19.1,4.33,40.7,-7.4,2.98,50.1,2.0,3.19,50.8,2.7,2.94,37.0,-11.1,2.35
Max Christie,PTS,14.5,OVER,58.8,7.0,11.72,53.7,1.9,11.45,38.5,-13.3,12.07,55.7,3.9,15.13,41.7,-10.1,12.41
P.J. Washington,PTS,15.5,OVER,63.5,7.9,17.71,39.2,-16.4,15.18,31.1,-24.5,11.87,22.5,-33.1,9.41,16.0,-39.6,7.82
Egor Demin,PTS,10.5,OVER,42.6,-10.6,8.65,44.7,-8.5,7.84,48.4,-4.8,10.74,48.6,-4.6,10.16,45.7,-7.5,9.88
Naji Marshall,PTS,16.5,OVER,54.8,-1.4,17.01,53.1,-3.1,17.66,44.3,-11.9,15.47,54.2,-1.9,17.24,47.8,-8.4,16.68
Day'Ron Sharpe,PTS,9.5,OVER,61.2,11.7,8.98,57.4,7.9,10.41,59.6,10.1,11.8,42.0,-7.5,10.27,42.0,-7.5,9.63
Nicolas Claxton,PTS,11.5,OVER,32.1,-24.4,4.89,39.6,-16.8,8.6,34.6,-21.9,9.43,32.7,-23.8,9.73,35.8,-20.7,9.5
